Date,Open,High,Low,Close,Volume,Adj Close
2015-01-14,3184.99,3198.32,3051.73,3078.38,24419300,3037.028
2015-01-13,3171.67,3211.65,3167.23,3176.11,10137200,3133.445
2015-01-12,3162.78,3202.76,3118.36,3184.99,13889100,3142.206
2015-01-09,3220.53,3247.18,3149.46,3162.78,33308900,3120.294
2015-01-08,3193.88,3264.95,3189.44,3202.76,54789400,3159.737
2015-01-07,3073.94,3184.99,3073.94,3176.11,43639000,3133.445
2015-01-06,3016.19,3091.71,2949.56,3073.94,50818800,3032.647
2015-01-05,3153.90,3153.90,3025.08,3038.40,41772400,2997.585
2015-01-02,3091.71,3184.99,3082.82,3176.11,37920300,3133.445
2015-01-01,3091.71,3091.71,3091.71,3091.71,000,3050.179
2014-12-31,3091.71,3091.71,3091.71,3091.71,000,3050.179
2014-12-30,3109.48,3220.53,3038.40,3091.71,92328600,3050.179
2014-12-29,2896.26,3109.48,2896.26,3100.59,104079800,3058.939
2014-12-26,2882.93,2882.93,2882.93,2882.93,000,2844.203
2014-12-25,2882.93,2882.93,2882.93,2882.93,000,2844.203
2014-12-24,2767.44,2887.37,2767.44,2882.93,74096900,2844.203
2014-12-23,2669.71,2776.32,2656.38,2762.99,79110400,2725.874
2014-12-22,2700.80,2709.69,2656.38,2665.27,9291700,2629.467
2014-12-19,2665.27,2700.80,2656.38,2674.15,28438100,2638.228
2014-12-18,2620.85,2651.94,2607.52,2638.61,30185700,2603.165
2014-12-17,2580.87,2611.96,2563.10,2567.54,19354700,2533.05
2014-12-16,2647.50,2651.94,2563.10,2580.87,43344400,2546.201
2014-12-15,2709.69,2727.46,2674.15,2691.92,24394800,2655.759
2014-12-12,2745.22,2758.55,2705.25,2736.34,29965800,2699.582
2014-12-11,2691.92,2754.11,2674.15,2731.90,46706000,2695.202
2014-12-10,2634.17,2705.25,2634.17,2700.80,39392100,2664.52
2014-12-09,2589.75,2674.15,2580.87,2634.17,28538500,2598.785
2014-12-08,2705.25,2718.57,2603.08,2616.40,34424400,2581.253
2014-12-05,2665.27,2727.46,2665.27,2696.36,25996300,2660.139
2014-12-04,2651.94,2740.78,2647.50,2691.92,79685700,2655.759
2014-12-03,2527.56,2665.27,2496.47,2647.50,131716600,2611.936
2014-12-02,2514.23,2567.54,2514.23,2527.56,54657100,2493.607
2014-12-01,2469.81,2545.33,2469.81,2514.23,58635900,2480.456
2014-11-28,2469.81,2496.47,2434.28,2469.81,22935900,2436.633
2014-11-27,2452.05,2469.81,2447.60,2452.05,8004500,2419.111
2014-11-26,2456.49,2469.81,2425.39,2456.49,20763200,2423.492
2014-11-25,2460.93,2478.70,2447.60,2460.93,22659300,2427.872
2014-11-24,2465.37,2492.02,2412.07,2465.37,56828800,2432.252
2014-11-21,2403.18,2407.62,2358.76,2403.18,17208400,2370.898
2014-11-20,2367.65,2394.30,2354.32,2367.65,14446000,2335.845
2014-11-19,2394.30,2434.28,2367.65,2394.30,67056600,2362.137
2014-11-18,2389.86,2403.18,2336.55,2389.86,78849900,2357.757
2014-11-17,2265.48,2336.55,2269.92,2309.90,53022600,2278.871
2014-11-14,2265.48,2305.46,2247.71,2265.48,22565900,2235.047
2014-11-13,2256.59,2274.36,2225.50,2256.59,19392900,2226.277
2014-11-12,2252.15,2309.90,2252.15,2252.15,26513600,2221.896
2014-11-11,2292.13,2309.90,2234.38,2292.13,34999200,2261.339
2014-11-10,2234.38,2261.03,2189.96,2234.38,24360700,2204.365
2014-11-07,2176.63,2212.17,2163.31,2176.63,18780700,2147.391
2014-11-06,2212.17,2274.36,2203.29,2212.17,31648500,2182.453
2014-11-05,2252.15,2363.20,2243.27,2252.15,37687400,2221.896
2014-11-04,2354.32,2434.28,2354.32,2354.32,25907600,2322.694
2014-11-03,2416.51,2443.16,2412.07,2416.51,9068700,2384.049
2014-10-31,2447.60,2474.26,2434.28,2447.60,12718100,2414.721
2014-10-30,2438.72,2452.05,2407.62,2438.72,9272300,2405.96
2014-10-29,2425.39,2438.72,2394.30,2425.39,13592800,2392.809
2014-10-28,2380.97,2452.05,2380.97,2380.97,12282200,2348.986
2014-10-27,2456.49,2523.12,2456.49,2456.49,14515100,2423.492
2014-10-24,2496.47,2549.77,2496.47,2496.47,23261000,2462.934
2014-10-23,2540.89,2554.21,2496.47,2540.89,19154200,2506.758
2014-10-22,2523.12,2540.89,2509.79,2523.12,21210800,2489.227
2014-10-21,2505.35,2518.68,2443.16,2505.35,22155300,2471.695
2014-10-20,2492.02,2594.19,2487.58,2492.02,46655500,2458.544
